feature,spearman_rho,abs_rho,p_spearman,p_kruskal,trend,mean_0HS,mean_24HS,mean_48HS,mean_72HS,p_spearman_corrected,p_kruskal_corrected,sig_spearman,sig_kruskal,neglog_p_spearman_corr,neglog_p_kruskal_corr,abs_rho_norm,p_spearman_normscore,p_kruskal_normscore,composite_score,composite_score_norm,rank,importance_tier
median_thickness,-0.9180964230557048,0.9180964230557048,1.3219689749223613e-26,1.603462091086272e-11,decreasing,14.638995137031191,12.714895241830504,11.773507282179008,10.247410236086402,3.7015131297826116e-25,2.203056029961221e-10,True,True,12.0,9.656974457368733,1.0,1.0,1.0,1.0,100.0,1,🔴 HIGH
branch_density,0.9108674366665477,0.9108674366665477,1.6309143102188335e-25,2.3604171749584507e-11,increasing,0.011570211173662172,0.013223007301879086,0.014249155879799837,0.01583509258195466,1.522186689537578e-24,2.203056029961221e-10,True,True,12.0,9.656974457368733,0.9917736195504752,1.0,1.0,0.9958868097752376,99.58868097752375,2,🔴 HIGH
skeleton_length,0.9108674366665477,0.9108674366665477,1.6309143102188335e-25,2.3604171749584507e-11,increasing,36254.5625,41433.5,44648.875,49618.3125,1.522186689537578e-24,2.203056029961221e-10,True,True,12.0,9.656974457368733,0.9917736195504752,1.0,1.0,0.9958868097752376,99.58868097752375,3,🔴 HIGH
mean_thickness,-0.8654753717163874,0.8654753717163874,2.830243964419508e-20,2.597700516765041e-10,decreasing,17.62327138065029,15.611153362508041,14.384510931578955,12.513348809981606,1.9811707750936558e-19,1.8183903617355289e-09,True,True,12.0,8.740312879227744,0.9401187435322212,1.0,0.9050298862300032,0.9463168433236113,94.63168433236113,4,🔴 HIGH
median_segment_length,0.7474029314644125,0.7474029314644125,1.3022364514403635e-12,9.227640936317637e-08,increasing,13.6875,14.1875,15.0,15.8125,7.292524128066036e-12,5.167478924337876e-07,True,True,11.137122125295896,6.286721285975455,0.8057556721653405,0.9273637553774957,0.6508271593863154,0.797425564773623,79.7425564773623,5,🔴 HIGH
mean_segment_length,0.7330818489450869,0.7330818489450869,5.679244794313848e-12,1.2763619903875898e-07,increasing,18.764848362129214,19.37151982623471,20.440270335835198,22.105045260790003,2.6503142373464625e-11,5.956355955142086e-07,True,True,10.576702630419868,6.225019356464732,0.7894586884789806,0.8801881715383637,0.6444345719743443,0.7758850301176673,77.58850301176673,6,🔴 HIGH
std_thickness,-0.7141684885491868,0.7141684885491868,3.4591266681727236e-11,4.3715129542057076e-07,decreasing,11.579285694512485,10.358424325126755,9.536819509580859,8.220752431357841,1.3836506672690894e-10,1.748605181682283e-06,True,True,9.858973543136075,5.75730823899081,0.7679358234713748,0.8197704147677318,0.5959776723974333,0.7379049335269787,73.79049335269787,7,🔴 HIGH
n_junctions,0.6793679054207307,0.6793679054207307,6.761310179970058e-10,9.641076484263117e-07,increasing,2900.5,3324.25,3471.5,3593.0625,2.1035187226573515e-09,2.999446017326303e-06,True,True,8.677053618132087,5.522958949891978,0.7283337518573801,0.720277511642546,0.5716980700028724,0.6871607713400447,68.71607713400448,8,🟡 MEDIUM
junction_density,0.6793679054207307,0.6793679054207307,6.761310179970058e-10,9.641076484263117e-07,increasing,0.0009256599775326797,0.001060894735498366,0.0011078878165849673,0.0011466830384497548,2.1035187226573515e-09,2.999446017326303e-06,True,True,8.677053618132087,5.522958949891978,0.7283337518573801,0.720277511642546,0.5716980700028724,0.6871607713400447,68.71607713400448,9,🟡 MEDIUM
n_segments,0.65596039230179,0.65596039230179,4.017452591816366e-09,3.041652930854548e-06,increasing,1769.375,1956.4375,2009.8125,2079.8125,1.1248867257085826e-08,6.551252466455949e-06,True,True,7.948891208109525,5.183675663783453,0.701696669156205,0.6589814876166105,0.5365468505666531,0.6497304191239184,64.97304191239184,10,🟡 MEDIUM
std_segment_length,0.6422977190447665,0.6422977190447665,1.059855771626063e-08,2.2105744809085663e-06,increasing,17.645149486977214,18.22386681536718,19.155006578246592,21.797322112036078,2.6978146914117965e-08,5.158007122119989e-06,True,True,7.568987884634913,5.287518062528583,0.6861489364424728,0.6270015846132254,0.5473053732953732,0.6366512076983861,63.66512076983861,11,🟡 MEDIUM
median_component_area,-0.630614748539264,0.630614748539264,2.3401287696373888e-08,1.9441845249645924e-06,decreasing,582.84375,493.84375,475.90625,459.875,5.460300462487241e-08,4.9488333362735075e-06,True,True,7.262783458831899,5.30549717184161,0.6728540490287968,0.6012255852173107,0.5491680869703636,0.624025442561317,62.4025442561317,12,🟡 MEDIUM
median_tortuosity,-0.6128069064499038,0.6128069064499038,7.359158503487431e-08,1.5153935739994072e-06,decreasing,1.0126000142695388,0.9924647754733835,0.9909096019290823,0.9851285831731114,1.585049523828062e-07,4.24310200719834e-06,True,True,6.799957163989292,5.372316527358806,0.6525892323413748,0.5622653047935682,0.5560908619036988,0.6058836578450042,60.58836578450042,13,🟡 MEDIUM
mean_tortuosity,-0.5742096216195263,0.5742096216195263,7.015598652703376e-07,2.0724913139557048e-05,decreasing,1.0331999656151898,1.0005328178931747,0.9954214535709547,0.9883357016181648,1.4031197305406753e-06,3.8686504527173154e-05,True,True,5.852905268319811,4.412440508664377,0.608666622415092,0.4825433705770439,0.45664354473199503,0.5391300400348057,53.913004003480566,14,🟡 MEDIUM
std_component_area,0.5530266579761182,0.5530266579761182,2.1491224223058663e-06,6.5410502302262e-06,increasing,11961.233176500691,21569.828734957482,23789.034476080305,24840.595585995216,4.011695188304284e-06,1.30821004604524e-05,True,True,5.396672072427899,4.8833225201442305,0.5845610136065734,0.44413809099669105,0.505428962675637,0.5296722702213688,52.967227022136875,15,🟡 MEDIUM
largest_component_ratio,0.5394090384910701,0.5394090384910701,4.2422145151034516e-06,2.2283032855208568e-05,increasing,0.2132995552288866,0.4168388888565232,0.4485334376775424,0.48888352437049454,7.423875401431041e-06,3.8995307496615e-05,True,True,5.1293693257069,4.408987650689876,0.5690645508010973,0.42163679820858724,0.45628581367563825,0.504012928371605,50.401292837160504,16,🟡 MEDIUM
largest_component_area,0.529574091085202,0.529574091085202,6.807730884073838e-06,2.749252932453949e-05,increasing,132427.1875,258892.5,278902.6875,303127.8125,1.1212733220827499e-05,4.5281813005123865e-05,True,True,4.950288510684523,4.344076193075127,0.5578726609971422,0.4065619443173301,0.4495607052368717,0.49296699288712154,49.296699288712155,17,🟡 MEDIUM
max_segment_length,0.4903858864622831,0.4903858864622831,3.898261211469073e-05,0.000742989027898651,increasing,171.625,178.75,195.5625,233.5625,6.063961884507446e-05,0.0011557607100645682,True,True,4.217243537158343,2.9371320734032773,0.5132776011910406,0.3448549107065731,0.3037951944970813,0.4188013268964339,41.88013268964339,18,🟡 MEDIUM
max_thickness,-0.3907768657714816,0.3907768657714816,0.0014101037526839512,0.017275163744946753,decreasing,90.95017348951058,83.92912784244064,80.38452028234849,73.98259746646397,0.0020780476355342437,0.023033551659929003,True,True,2.682344501238636,1.6376390908077052,0.3999253749873528,0.21564855936497512,0.1691620874231508,0.29616534919070786,29.616534919070787,19,🟢 LOW
n_components,-0.3529758350622058,0.3529758350622058,0.004224948553583372,0.002276012540034559,decreasing,199.3125,172.3125,167.1875,174.6875,0.0059149279750167205,0.003354123743208824,True,True,2.228050539327385,2.4744209190699977,0.35690887955376144,0.17740652266977314,0.25585631277936277,0.28677014863916467,28.677014863916465,20,🟢 LOW
mean_component_area,0.34346662478954537,0.34346662478954537,0.005458485836413303,0.0033470556845178476,increasing,3142.325144010886,3648.329786998293,3794.5276889233774,3639.9384438377874,0.0072779811152177375,0.004685877958324987,True,True,2.1379890756482953,2.3292090266046603,0.34608766932230123,0.16982523370799693,0.2408117311398032,0.27570307587310067,27.570307587310065,21,🟢 LOW
max_tortuosity,-0.20738988058831678,0.20738988058831678,0.1001037504671294,0.34283856899898824,decreasing,1.7925899443872448,1.6256064456607775,1.5602061995437237,1.4711896525972354,0.12740477332180106,0.39997833049881965,False,False,0.8948143005055016,0.39796353667131396,0.19123621327156012,0.06517595514495114,0.040726325281815745,0.12209367674247179,12.20936767424718,22,🟢 LOW
n_endpoints,0.17666696513204916,0.17666696513204916,0.16256646418336515,0.13274880024971678,increasing,1006.0,989.3125,991.625,1033.5,0.1896608748805927,0.16160723508661173,False,False,0.7220222504290102,0.7915391999484749,0.1562744112351185,0.05063048354796069,0.0815024703825379,0.1111704441001839,11.117044410018389,23,🟢 LOW
endpoint_density,0.17666696513204916,0.17666696513204916,0.16256646418336515,0.13274880024971678,increasing,0.0003210529003267974,0.0003157272837520425,0.00031646529054330067,0.0003298291973039216,0.1896608748805927,0.16160723508661173,False,False,0.7220222504290102,0.7915391999484749,0.1562744112351185,0.05063048354796069,0.0815024703825379,0.1111704441001839,11.117044410018389,24,🟢 LOW
orientation_std_deg,0.1528199519988726,0.1528199519988726,0.22798709921981086,0.6262192599922598,increasing,48.838408060467415,49.36488976089154,49.523961122302524,49.81415015105808,0.2553455511261882,0.7013655711913309,False,False,0.5928717044353402,0.15405555668748913,0.1291371900456348,0.03975871255123288,0.015456401068944284,0.07837237342786169,7.837237342786168,25,🟢 LOW
orientation_mean_deg,-0.06430542534606026,0.06430542534606026,0.613680243051739,0.6710819149887286,decreasing,89.62464722688927,89.75363138031416,86.1030778185849,88.68436739681994,0.6608864155941804,0.7227036007570923,False,False,0.1798731748856903,0.14103978147261245,0.028410181810039663,0.004992886354344945,0.014107910325535575,0.018980290074989963,1.8980290074989963,26,🟢 LOW
fill_ratio,-0.039339789623472156,0.039339789623472156,0.7575992160125334,0.9888519184672843,decreasing,0.19787785149867237,0.19781538022109885,0.19786656198937908,0.1975228502859477,0.7575992160125334,0.9888519184672843,False,False,0.12056048342612247,0.004868739553080036,0.0,0.0,0.0,0.0,0.0,27,🟢 LOW
mask_area,-0.039339789623472156,0.039339789623472156,0.7575992160125334,0.9888519184672843,decreasing,620038.375,619842.625,620003.0,618926.0,0.7575992160125334,0.9888519184672843,False,False,0.12056048342612247,0.004868739553080036,0.0,0.0,0.0,0.0,0.0,28,🟢 LOW
